scene,class_index,class_name,gt_points,duograph_iou,conceptgraphs_iou,delta_iou,duograph_recall,conceptgraphs_recall,delta_recall,duograph_precision,conceptgraphs_precision,delta_precision,duograph_pred_points,conceptgraphs_pred_points
room1,31,pillow,403988,0.04211,0.506588,-0.464478,0.04211,0.511084,-0.468974,1.0,0.982929,0.017071,17012,210058
room1,25,lamp,364655,0.0,0.093654,-0.093654,0.0,0.094064,-0.094064,0.0,0.955539,-0.955539,0,35897
room1,29,picture,344866,0.947843,0.998349,-0.050506,1.0,0.999597,0.000403,0.947843,0.998751,-0.050908,363843,345158
room1,27,nightstand,85960,0.219821,0.251188,-0.031367,0.922255,0.92856,-0.006305,0.223972,0.256138,-0.032166,353960,311625
room1,17,comforter,470985,0.256837,0.276364,-0.019527,1.0,1.0,0.0,0.256837,0.276364,-0.019527,1833787,1704221
room1,47,vent,34810,0.117337,0.133975,-0.016638,0.998506,0.998937,-0.000431,0.117357,0.133994,-0.016637,296172,259511
room1,1,basket,14029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room1,2,bed,315698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628,0
room1,5,blanket,459141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room1,12,cabinet,85694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room1,28,panel,7262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room1,34,plate,3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room1,46,vase,6951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room1,49,wall-plug,5149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room1,51,rug,279619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room1,6,blinds,872892,0.998111,0.9953,0.002811,0.99986,0.998654,0.001206,0.99825,0.996638,0.001612,874300,874658
room1,24,indoor-plant,15119,0.691019,0.680673,0.010346,0.995965,0.982539,0.013426,0.692959,0.689007,0.003952,21730,21560
room1,40,switch,447,0.045184,0.0,0.045184,0.98434,0.0,0.98434,0.045216,0.0,0.045216,9731,8976
room1,7,book,4496,0.811329,0.714492,0.096837,0.876112,0.768683,0.107429,0.916473,0.910192,0.006281,4298,3797
all,31,pillow,1200712,0.04211,0.571657,-0.529547,0.04211,0.761887,-0.719777,1.0,0.696005,0.303995,17012,1314368
all,49,wall-plug,24137,0.0,0.202609,-0.202609,0.0,0.272818,-0.272818,0.0,0.440498,-0.440498,0,14949
all,46,vase,126277,0.0,0.172188,-0.172188,0.0,0.214077,-0.214077,0.0,0.46808,-0.46808,0,57753
all,25,lamp,722095,0.0,0.157945,-0.157945,0.0,0.158985,-0.158985,0.0,0.960236,-0.960236,0,119556
all,40,switch,10296,0.045184,0.095381,-0.050197,0.98434,0.505051,0.479289,0.045216,0.105216,-0.06,9731,49422
all,27,nightstand,85960,0.219821,0.251188,-0.031367,0.922255,0.92856,-0.006305,0.223972,0.256138,-0.032166,353960,311625
all,17,comforter,470985,0.256837,0.276364,-0.019527,1.0,1.0,0.0,0.256837,0.276364,-0.019527,1833787,1704221
all,5,blanket,830419,0.0,0.000138,-0.000138,0.0,0.000138,-0.000138,0.0,0.022931,-0.022931,0,5015
all,1,basket,39863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
all,2,bed,315698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628,0
all,12,cabinet,173036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
all,28,panel,64412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
all,34,plate,135533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
all,51,rug,2686667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
all,47,vent,80780,0.117337,0.012816,0.104521,0.998506,0.999542,-0.001036,0.117357,0.012816,0.104541,296172,6300331
all,29,picture,633306,0.947843,0.76508,0.182763,1.0,0.993717,0.006283,0.947843,0.768799,0.179044,363843,818585
all,6,blinds,4396258,0.998111,0.580451,0.41766,0.99986,0.587797,0.412063,0.99825,0.978925,0.019325,874300,2639739
all,7,book,29035,0.811329,0.273418,0.537911,0.876112,0.401722,0.47439,0.916473,0.461228,0.455245,4298,25289
all,24,indoor-plant,224698,0.691019,0.089409,0.60161,0.995965,0.812219,0.183746,0.692959,0.091296,0.601663,21730,1999043
