scene,system,gt_class,pred_class,count,gt_error_share,gt_class_index,pred_class_index
room1,duograph3d,blanket,comforter,458735,0.999116,5,17
room1,duograph3d,pillow,comforter,386976,0.95789,31,17
room1,duograph3d,bed,comforter,313660,0.993544,2,17
room1,duograph3d,rug,comforter,188189,0.673019,51,17
room1,duograph3d,lamp,nightstand,177515,0.486803,25,27
room1,duograph3d,lamp,vent,173583,0.47602,25,47
room1,duograph3d,rug,vent,79284,0.283543,51,47
room1,duograph3d,cabinet,nightstand,79078,0.922795,12,27
room1,duograph3d,lamp,picture,12436,0.034103,25,29
room1,duograph3d,rug,nightstand,11957,0.042762,51,27
room1,duograph3d,basket,comforter,10829,0.771901,1,17
room1,duograph3d,vase,indoor-plant,6479,0.932096,46,24
room1,duograph3d,panel,switch,5457,0.751446,28,40
room1,duograph3d,nightstand,comforter,3971,0.046196,27,17
room1,duograph3d,wall-plug,switch,3834,0.744611,49,40
room1,duograph3d,plate,picture,3659,0.988919,34,29
room1,duograph3d,cabinet,vent,3565,0.041602,12,47
room1,duograph3d,nightstand,vent,2712,0.03155,27,47
room1,duograph3d,cabinet,picture,2317,0.027038,12,29
room1,duograph3d,bed,nightstand,1872,0.00593,2,27
room1,conceptgraphs,blanket,comforter,458715,0.999072,5,17
room1,conceptgraphs,bed,comforter,300770,0.952714,2,17
room1,conceptgraphs,rug,comforter,258866,0.925781,51,17
room1,conceptgraphs,pillow,comforter,196458,0.486297,31,17
room1,conceptgraphs,lamp,vent,187743,0.514851,25,47
room1,conceptgraphs,lamp,nightstand,142278,0.390172,25,27
room1,conceptgraphs,cabinet,nightstand,83101,0.969741,12,27
room1,conceptgraphs,rug,vent,20615,0.073725,51,47
room1,conceptgraphs,basket,comforter,13847,0.987027,1,17
room1,conceptgraphs,bed,vent,10541,0.03339,2,47
room1,conceptgraphs,panel,switch,6545,0.901267,28,40
room1,conceptgraphs,vase,indoor-plant,6446,0.927349,46,24
room1,conceptgraphs,nightstand,comforter,4468,0.051978,27,17
room1,conceptgraphs,plate,nightstand,3700,1.0,34,27
room1,conceptgraphs,bed,pillow,3581,0.011343,2,31
room1,conceptgraphs,wall-plug,blinds,2540,0.4933,49,6
room1,conceptgraphs,wall-plug,switch,2431,0.472131,49,40
room1,conceptgraphs,cabinet,vent,2216,0.025859,12,47
room1,conceptgraphs,nightstand,lamp,1596,0.018567,27,25
room1,conceptgraphs,blinds,vent,1174,0.001345,6,47
all,duograph3d,blanket,comforter,458735,0.999116,5,17
all,duograph3d,pillow,comforter,386976,0.95789,31,17
all,duograph3d,bed,comforter,313660,0.993544,2,17
all,duograph3d,rug,comforter,188189,0.673019,51,17
all,duograph3d,lamp,nightstand,177515,0.486803,25,27
all,duograph3d,lamp,vent,173583,0.47602,25,47
all,duograph3d,rug,vent,79284,0.283543,51,47
all,duograph3d,cabinet,nightstand,79078,0.922795,12,27
all,duograph3d,lamp,picture,12436,0.034103,25,29
all,duograph3d,rug,nightstand,11957,0.042762,51,27
all,duograph3d,basket,comforter,10829,0.771901,1,17
all,duograph3d,vase,indoor-plant,6479,0.932096,46,24
all,duograph3d,panel,switch,5457,0.751446,28,40
all,duograph3d,nightstand,comforter,3971,0.046196,27,17
all,duograph3d,wall-plug,switch,3834,0.744611,49,40
all,duograph3d,plate,picture,3659,0.988919,34,29
all,duograph3d,cabinet,vent,3565,0.041602,12,47
all,duograph3d,nightstand,vent,2712,0.03155,27,47
all,duograph3d,cabinet,picture,2317,0.027038,12,29
all,duograph3d,bed,nightstand,1872,0.00593,2,27
all,conceptgraphs,rug,vent,1669082,0.625477,51,47
all,conceptgraphs,rug,indoor-plant,740309,0.277426,51,24
all,conceptgraphs,blinds,vent,539258,0.172568,6,47
all,conceptgraphs,blanket,comforter,458715,0.554325,5,17
all,conceptgraphs,lamp,vent,457824,0.639555,25,47
all,conceptgraphs,bed,comforter,300770,0.952714,2,17
all,conceptgraphs,blanket,pillow,264605,0.319757,5,31
all,conceptgraphs,rug,comforter,258866,0.097008,51,17
all,conceptgraphs,pillow,comforter,196458,0.175336,31,17
all,conceptgraphs,lamp,nightstand,142278,0.198754,25,27
all,conceptgraphs,plate,vent,122701,0.912356,34,47
all,conceptgraphs,vase,indoor-plant,92884,0.761956,46,24
all,conceptgraphs,cabinet,nightstand,83101,0.966549,12,27
all,conceptgraphs,blanket,picture,80337,0.097082,5,29
all,conceptgraphs,indoor-plant,vent,41134,0.183927,24,47
all,conceptgraphs,basket,vent,25014,0.634487,1,47
all,conceptgraphs,blanket,vent,18361,0.022188,5,47
all,conceptgraphs,panel,vent,14603,0.642823,28,47
all,conceptgraphs,basket,comforter,13847,0.351233,1,17
all,conceptgraphs,bed,vent,10541,0.03339,2,47
