scene,class_index,class_name,gt_points,duograph_iou,conceptgraphs_iou,delta_iou,duograph_recall,conceptgraphs_recall,delta_recall,duograph_precision,conceptgraphs_precision,delta_precision,duograph_pred_points,conceptgraphs_pred_points
room0,38,sofa,788746,0.445101,0.747239,-0.302138,0.534077,0.896205,-0.362128,0.727647,0.818033,-0.090386,578922,864119
room0,18,cushion,291371,0.35951,0.638696,-0.279186,0.684687,0.674477,0.01021,0.43084,0.923311,-0.492471,463044,212846
room0,25,lamp,141961,0.429585,0.554724,-0.125139,0.499989,0.567064,-0.067075,0.753133,0.962252,-0.209119,94245,83659
room0,47,vent,7072,0.01904,0.071416,-0.052376,1.0,1.0,0.0,0.01904,0.071416,-0.052376,371434,99025
room0,39,stool,158578,0.874794,0.902844,-0.02805,0.892419,0.995794,-0.103375,0.977922,0.9063,0.071622,144713,174237
room0,6,blinds,915754,0.925254,0.945771,-0.020517,0.951971,1.0,-0.048029,0.970562,0.945771,0.024791,898213,968262
room0,29,picture,288440,0.584566,0.596312,-0.011746,0.993697,0.986687,0.00701,0.586741,0.601149,-0.014408,488498,473427
room0,33,plant-stand,8284,0.0,0.010482,-0.010482,0.0,0.433607,-0.433607,0.0,0.010627,-0.010627,161897,338007
room0,7,book,24539,0.211345,0.217011,-0.005666,0.329476,0.334488,-0.005012,0.370855,0.38191,-0.011055,21801,21492
room0,5,blanket,87424,0.0,0.001246,-0.001246,0.0,0.001315,-0.001315,0.0,0.022931,-0.022931,0,5015
room0,1,basket,25834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room0,12,cabinet,87342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room0,13,candle,3456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7799,0
room0,34,plate,1734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room0,35,pot,23897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4158,4173
room0,46,vase,4186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33940,25445
room0,49,wall-plug,1162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room0,14,chair,125039,0.007494,0.0,0.007494,0.007494,0.0,0.007494,1.0,0.0,1.0,937,0
room0,41,table,259988,0.007523,0.0,0.007523,0.007523,0.0,0.007523,1.0,0.0,1.0,1956,0
room0,24,indoor-plant,36011,0.071567,0.044473,0.027094,1.0,0.992363,0.007637,0.071567,0.044489,0.027078,503182,803260
room0,30,pillar,60885,0.224708,0.096392,0.128316,0.269048,0.096395,0.172653,0.576897,0.999659,-0.422762,28395,5871
room0,51,rug,752079,0.383316,0.0,0.383316,0.384234,0.0,0.384234,0.993806,0.0,0.993806,290775,0
room0,40,switch,1612,0.921216,0.0804,0.840816,0.921216,0.83871,0.082506,1.0,0.081662,0.918338,1485,16556
room1,31,pillow,403988,0.0,0.506588,-0.506588,0.0,0.511084,-0.511084,0.0,0.982929,-0.982929,59781,210058
room1,25,lamp,364655,0.0,0.093654,-0.093654,0.0,0.094064,-0.094064,0.0,0.955539,-0.955539,0,35897
room1,27,nightstand,85960,0.208592,0.251188,-0.042596,0.916543,0.92856,-0.012017,0.212631,0.256138,-0.043507,370529,311625
room1,47,vent,34810,0.110125,0.133975,-0.02385,0.999339,0.998937,0.000402,0.110133,0.133994,-0.023861,315864,259511
room1,29,picture,344866,0.981372,0.998349,-0.016977,1.0,0.999597,0.000403,0.981372,0.998751,-0.017379,351412,345158
room1,17,comforter,470985,0.266315,0.276364,-0.010049,0.999981,1.0,-1.9e-05,0.266317,0.276364,-0.010047,1768481,1704221
room1,6,blinds,872892,0.986591,0.9953,-0.008709,0.988697,0.998654,-0.009957,0.997845,0.996638,0.001207,864890,874658
room1,1,basket,14029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room1,2,bed,315698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8039,0
room1,5,blanket,459141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room1,12,cabinet,85694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room1,28,panel,7262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room1,34,plate,3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room1,46,vase,6951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room1,49,wall-plug,5149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room1,51,rug,279619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
room1,40,switch,447,0.03748,0.0,0.03748,0.975391,0.0,0.975391,0.037515,0.0,0.037515,11622,8976
room1,24,indoor-plant,15119,0.723965,0.680673,0.043292,0.995039,0.982539,0.0125,0.726588,0.689007,0.037581,20705,21560
room1,7,book,4496,0.790915,0.714492,0.076423,0.848087,0.768683,0.079404,0.92146,0.910192,0.011268,4138,3797
all,31,pillow,1200712,0.0,0.571657,-0.571657,0.0,0.761887,-0.761887,0.0,0.696005,-0.696005,59781,1314368
all,38,sofa,3587773,0.445101,0.840483,-0.395382,0.534077,0.932566,-0.398489,0.727647,0.894869,-0.167222,578922,3738911
all,18,cushion,593184,0.35951,0.686806,-0.327296,0.684687,0.764378,-0.079691,0.43084,0.87126,-0.44042,463044,520415
all,14,chair,3589976,0.007494,0.227594,-0.2201,0.007494,0.228543,-0.221049,1.0,0.982069,0.017931,937,835445
all,49,wall-plug,24137,0.0,0.202609,-0.202609,0.0,0.272818,-0.272818,0.0,0.440498,-0.440498,0,14949
all,46,vase,126277,0.0,0.172188,-0.172188,0.0,0.214077,-0.214077,0.0,0.46808,-0.46808,33940,57753
all,27,nightstand,85960,0.208592,0.251188,-0.042596,0.916543,0.92856,-0.012017,0.212631,0.256138,-0.043507,370529,311625
all,25,lamp,722095,0.133952,0.157945,-0.023993,0.140104,0.158985,-0.018881,0.753133,0.960236,-0.207103,94245,119556
all,29,picture,633306,0.750228,0.76508,-0.014852,0.997129,0.993717,0.003412,0.751852,0.768799,-0.016947,839910,818585
all,17,comforter,470985,0.266315,0.276364,-0.010049,0.999981,1.0,-1.9e-05,0.266317,0.276364,-0.010047,1768481,1704221
all,33,plant-stand,82705,0.0,0.008611,-0.008611,0.0,0.043431,-0.043431,0.0,0.010627,-0.010627,161897,338007
all,5,blanket,830419,0.0,0.000138,-0.000138,0.0,0.000138,-0.000138,0.0,0.022931,-0.022931,0,5015
all,1,basket,39863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
all,2,bed,315698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8039,0
all,12,cabinet,173036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
all,13,candle,3456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7799,0
all,28,panel,64412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
all,34,plate,135533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
all,35,pot,23897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4158,4173
all,41,table,3259917,0.007523,0.004981,0.002542,0.007523,0.005054,0.002469,1.0,0.256424,0.743576,1956,64253
all,7,book,29035,0.276209,0.273418,0.002791,0.409781,0.401722,0.008059,0.458692,0.461228,-0.002536,25939,25289
all,24,indoor-plant,224698,0.09744,0.089409,0.008031,0.998533,0.812219,0.186314,0.097454,0.091296,0.006158,523887,1999043
all,47,vent,80780,0.060902,0.012816,0.048086,0.999451,0.999542,-9.1e-05,0.060904,0.012816,0.048088,687298,6300331
all,40,switch,10296,0.145036,0.095381,0.049655,0.932977,0.505051,0.427926,0.146563,0.105216,0.041347,13107,49422
all,39,stool,326842,0.874794,0.813053,0.061741,0.892419,0.873223,0.019196,0.977922,0.921872,0.05605,144713,309594
all,30,pillar,390407,0.224708,0.106628,0.11808,0.269048,0.129288,0.13976,0.576897,0.378251,0.198646,28395,133443
all,51,rug,2686667,0.279607,0.0,0.279607,0.280096,0.0,0.280096,0.993806,0.0,0.993806,290775,0
all,6,blinds,4396258,0.954784,0.580451,0.374333,0.969894,0.587797,0.382097,0.983945,0.978925,0.00502,1763103,2639739
