scene,system,gt_class,pred_class,count,gt_error_share,gt_class_index,pred_class_index
room0,duograph3d,rug,indoor-plant,285456,0.379556,51,24
room0,duograph3d,sofa,cushion,260541,0.330323,38,18
room0,duograph3d,rug,vent,160483,0.213386,51,47
room0,duograph3d,table,indoor-plant,138868,0.534132,41,24
room0,duograph3d,chair,sofa,122562,0.98019,14,38
room0,duograph3d,blanket,picture,84379,0.96517,5,29
room0,duograph3d,cabinet,plant-stand,81608,0.93435,12,33
room0,duograph3d,table,plant-stand,77416,0.297768,41,33
room0,duograph3d,cushion,picture,66998,0.229941,18,29
room0,duograph3d,lamp,vent,55171,0.388635,25,47
room0,duograph3d,sofa,vent,44123,0.055941,38,47
room0,duograph3d,pillar,blinds,25993,0.42692,30,6
room0,duograph3d,sofa,indoor-plant,25904,0.032842,38,24
room0,duograph3d,sofa,picture,25730,0.032621,38,29
room0,duograph3d,basket,vent,24828,0.961059,1,47
room0,duograph3d,cushion,sofa,23969,0.082263,18,38
room0,duograph3d,pot,vase,23639,0.989204,35,46
room0,duograph3d,blinds,vent,21834,0.023843,6,47
room0,duograph3d,table,vent,20665,0.079484,41,47
room0,duograph3d,blinds,lamp,19957,0.021793,6,25
room0,conceptgraphs,rug,indoor-plant,740309,0.98435,51,24
room0,conceptgraphs,table,plant-stand,230293,0.885783,41,33
room0,conceptgraphs,chair,sofa,124088,0.992394,14,38
room0,conceptgraphs,cabinet,plant-stand,86016,0.984818,12,33
room0,conceptgraphs,blanket,picture,80337,0.918935,5,29
room0,conceptgraphs,cushion,picture,66133,0.226972,18,29
room0,conceptgraphs,lamp,vent,59489,0.419052,25,47
room0,conceptgraphs,pillar,blinds,47821,0.785432,30,6
room0,conceptgraphs,sofa,picture,40599,0.051473,38,29
room0,conceptgraphs,cushion,sofa,26918,0.092384,18,38
room0,conceptgraphs,basket,vent,24832,0.961214,1,47
room0,conceptgraphs,pot,vase,23093,0.966356,35,46
room0,conceptgraphs,sofa,cushion,16323,0.020695,38,18
room0,conceptgraphs,sofa,switch,15204,0.019276,38,40
room0,conceptgraphs,book,plant-stand,13167,0.536574,7,33
room0,conceptgraphs,table,book,12570,0.048348,41,7
room0,conceptgraphs,rug,stool,9401,0.0125,51,39
room0,conceptgraphs,table,indoor-plant,8629,0.03319,41,24
room0,conceptgraphs,blanket,indoor-plant,5117,0.058531,5,24
room0,conceptgraphs,pillar,vent,5001,0.082138,30,47
room1,duograph3d,blanket,comforter,458735,0.999116,5,17
room1,duograph3d,pillow,comforter,403714,0.999322,31,17
room1,duograph3d,bed,comforter,295664,0.936541,2,17
room1,duograph3d,lamp,vent,194142,0.532399,25,47
room1,duograph3d,lamp,nightstand,168938,0.463282,25,27
room1,duograph3d,rug,comforter,124500,0.445249,51,17
room1,duograph3d,cabinet,nightstand,79135,0.92346,12,27
room1,duograph3d,rug,vent,77710,0.277914,51,47
room1,duograph3d,rug,pillow,59772,0.213762,51,31
room1,duograph3d,bed,nightstand,19809,0.062747,2,27
room1,duograph3d,basket,comforter,10792,0.769264,1,17
room1,duograph3d,blinds,nightstand,9793,0.011219,6,27
room1,duograph3d,rug,nightstand,9719,0.034758,51,27
room1,duograph3d,rug,bed,7918,0.028317,51,2
room1,duograph3d,panel,switch,7063,0.972597,28,40
room1,duograph3d,vase,indoor-plant,5426,0.780607,46,24
room1,duograph3d,cabinet,vent,4189,0.048883,12,47
room1,duograph3d,wall-plug,switch,4123,0.800738,49,40
room1,duograph3d,nightstand,comforter,4095,0.047638,27,17
room1,duograph3d,plate,picture,3677,0.993784,34,29
room1,conceptgraphs,blanket,comforter,458715,0.999072,5,17
room1,conceptgraphs,bed,comforter,300770,0.952714,2,17
room1,conceptgraphs,rug,comforter,258866,0.925781,51,17
room1,conceptgraphs,pillow,comforter,196458,0.486297,31,17
room1,conceptgraphs,lamp,vent,187743,0.514851,25,47
room1,conceptgraphs,lamp,nightstand,142278,0.390172,25,27
room1,conceptgraphs,cabinet,nightstand,83101,0.969741,12,27
room1,conceptgraphs,rug,vent,20615,0.073725,51,47
room1,conceptgraphs,basket,comforter,13847,0.987027,1,17
room1,conceptgraphs,bed,vent,10541,0.03339,2,47
room1,conceptgraphs,panel,switch,6545,0.901267,28,40
room1,conceptgraphs,vase,indoor-plant,6446,0.927349,46,24
room1,conceptgraphs,nightstand,comforter,4468,0.051978,27,17
room1,conceptgraphs,plate,nightstand,3700,1.0,34,27
room1,conceptgraphs,bed,pillow,3581,0.011343,2,31
room1,conceptgraphs,wall-plug,blinds,2540,0.4933,49,6
room1,conceptgraphs,wall-plug,switch,2431,0.472131,49,40
room1,conceptgraphs,cabinet,vent,2216,0.025859,12,47
room1,conceptgraphs,nightstand,lamp,1596,0.018567,27,25
room1,conceptgraphs,blinds,vent,1174,0.001345,6,47
all,duograph3d,blanket,comforter,458735,0.839305,5,17
all,duograph3d,pillow,comforter,403714,0.999322,31,17
all,duograph3d,bed,comforter,295664,0.936541,2,17
all,duograph3d,rug,indoor-plant,285456,0.276686,51,24
all,duograph3d,sofa,cushion,260541,0.330323,38,18
all,duograph3d,lamp,vent,249313,0.492114,25,47
all,duograph3d,rug,vent,238193,0.230875,51,47
all,duograph3d,lamp,nightstand,168938,0.333464,25,27
all,duograph3d,table,indoor-plant,138868,0.534132,41,24
all,duograph3d,rug,comforter,124500,0.120675,51,17
all,duograph3d,chair,sofa,122562,0.98019,14,38
all,duograph3d,blanket,picture,84379,0.154381,5,29
all,duograph3d,cabinet,plant-stand,81608,0.471624,12,33
all,duograph3d,cabinet,nightstand,79135,0.457333,12,27
all,duograph3d,table,plant-stand,77416,0.297768,41,33
all,duograph3d,cushion,picture,66998,0.229941,18,29
all,duograph3d,rug,pillow,59772,0.057936,51,31
all,duograph3d,sofa,vent,44123,0.055941,38,47
all,duograph3d,basket,vent,26087,0.654416,1,47
all,duograph3d,pillar,blinds,25993,0.42692,30,6
all,conceptgraphs,chair,vent,1742208,0.597434,14,47
all,conceptgraphs,rug,vent,1669082,0.621405,51,47
all,conceptgraphs,table,vent,895402,0.435298,41,47
all,conceptgraphs,table,indoor-plant,868431,0.422187,41,24
all,conceptgraphs,rug,indoor-plant,740309,0.27562,51,24
all,conceptgraphs,blinds,vent,539258,0.172087,6,47
all,conceptgraphs,blanket,comforter,458715,0.55343,5,17
all,conceptgraphs,lamp,vent,457824,0.638342,25,47
all,conceptgraphs,bed,comforter,300770,0.952714,2,17
all,conceptgraphs,pillar,vent,280768,0.736425,30,47
all,conceptgraphs,blanket,pillow,264605,0.31924,5,31
all,conceptgraphs,rug,comforter,258866,0.096377,51,17
all,conceptgraphs,table,plant-stand,230293,0.111957,41,33
all,conceptgraphs,pillow,comforter,196458,0.175336,31,17
all,conceptgraphs,lamp,nightstand,142278,0.198378,25,27
all,conceptgraphs,sofa,vent,131484,0.036648,38,47
all,conceptgraphs,chair,pillow,129248,0.044321,14,31
